Vereda,Horario
El Plan,"El Plan: lunes, miércoles, viernes, 6:00 a.m. a 7:00 p.m"
El Llano SE,"El Llano SE: lunes, miércoles, viernes, 6:00 a.m. a 7:00 p.m"
El Cerro,"El Cerro: lunes, miércoles, viernes, 6:00 a.m. a 7:00 p.m"
Santa Elena Sector Central,"Santa Elena Sector Central: lunes, miércoles, viernes, 6:00 a.m. a 7:00 p.m"
Barro Blanco,"Barro Blanco: martes, jueves, sábado, 6:00 a.m. a 7:00 p.m"
El Placer,"El Placer: martes, jueves, sábado, 6:00 a.m. a 7:00 p.m"
Mazo,"Mazo: martes, jueves, sábado, 6:00 a.m. a 7:00 p.m"
Piedras Blancas – Matasano,"Piedras Blancas - Matasano: martes, jueves, sábado, 6:00 a.m. a 7:00 p.m"
Piedra Gorda,"Piedra Gorda: martes, jueves, sábado, 6:00 a.m. a 7:00 p.m"
Media Luna,"Media Luna: martes, jueves, sábado, 6:00 a.m. a 7:00 p.m"
Las Palmas (mirador del poblado),"Las Palmas (mirador del poblado): lunes y jueves, 6:00 a.m. a 7:00 p.m"
Las Palmas,"Las Palmas: martes y viernes, 6:00 a.m. a 7:00 p.m"
