nombre_negocio,ubicacion,telefono,categoria
Trasteos La Mulita Paisa – “No hay carga pesada cuando hay ganas.”,"Barro Blanco,El Llano,El Placer,El Plan,El Porvenir,Guarne,Pantanillo,Parte Central,Santa Elena",3011938521,Transporte
Sin Regordimiento PANADERIA ARTESANAL,"El Placer,El Porvenir,Mazo,Santa Elena",3013306251,Minisúper+2Servicios VariosTiendas
Flores – Luis Eduardo,"El Llano,El Placer,El Plan,El Porvenir,El Rosario,Pantanillo,Parte Central,Perico,Piedra Gorda,Santa Elena",3195084514,Minisúper+2Servicios VariosTiendas
Odontologa – Dr Keyla Salazar,"El Peñol,Guarne,Guatapé,Marinilla,Rio Negro,Santa Elena",3182457970,Cuidado Personal+1Servicios Profesionales
Olimpo Studio,Santa Elena,(301) 588-5403,Servicios Varios+1Tiendas
Asesoría en Psicología,"El Peñol,Guarne,Guatapé,Marinilla,Rio Negro,Santa Elena",3233105012,Servicios Profesionales
Saliluna – Pructos de Belleza,"El Peñol,Guarne,Guatapé,Marinilla,Rio Negro,Santa Elena",3233105012,Cuidado Personal+1Gym & Fitness
Ciclo – Rueda,Guarne,+573117373472,Gym & Fitness
El Rinconcito de la Belleza,Guarne,+573018783837,Cuidado Personal
Creamos Silletas,"Barro Blanco,El Llano,El Placer,El Porvenir,El Rosario,Guarne,La Honda,La Palma,la Quiebra,Mazo,Media Luna,Pantanillo,Parte Central,Perico,Piedra Gorda,Piedras Blancas,San Ignacio,San Miguel,Santa Elena",3126546138,Servicios Profesionales+3Servicios VariosTecnología – EquiposTiendas
