hora,ruta,info_ruta
5:00 a. m.,vereda-tambo sentido-a-medellin,"Salida Tambo: 5:00 a. m., Llegada Medellín: 6:02 a. m."
5:30 a. m.,vereda-tambo sentido-a-medellin,"Salida Tambo: 5:30 a. m., Llegada Medellín: 6:32 a. m."
6:00 a. m.,vereda-tambo sentido-a-medellin,"Salida Tambo: 6:00 a. m., Llegada Medellín: 6:55 a. m."
4:24 p. m.,vereda-tambo sentido-a-medellin,"Salida Tambo: 4:24 p. m., Llegada Medellín: 5:29 p. m."
6:00 a. m.,vereda-tambo sentido-desde-medellin,"Salida Medellín: 6:00 a. m., Llegada El Tambo: 7:05 a. m."
5:00 p. m.,vereda-tambo sentido-desde-medellin,"Salida Medellín: 5:00 p. m., Llegada El Tambo: 6:05 p. m."
6:00 a. m.,vereda-parque sentido-a-medellin,"Salida Parque: 6:00 a. m., Llegada Medellín: 6:40 a. m."
6:40 a. m.,vereda-parque sentido-a-medellin,"Salida Parque: 6:40 a. m., Llegada Medellín: 7:20 a. m."
7:15 a. m.,vereda-parque sentido-a-medellin,"Salida Parque: 7:15 a. m., Llegada Medellín: 7:55 a. m."
8:10 a. m.,vereda-parque sentido-a-medellin,"Salida Parque: 8:10 a. m., Llegada Medellín: 8:50 a. m."
9:00 a. m.,vereda-parque sentido-a-medellin,"Salida Parque: 9:00 a. m., Llegada Medellín: 9:40 a. m."
9:50 a. m.,vereda-parque sentido-a-medellin,"Salida Parque: 9:50 a. m., Llegada Medellín: 10:30 a. m."
10:40 a. m.,vereda-parque sentido-a-medellin,"Salida Parque: 10:40 a. m., Llegada Medellín: 11:20 a. m."
11:10 a. m.,vereda-parque sentido-a-medellin,"Salida Parque: 11:10 a. m., Llegada Medellín: 11:50 a. m."
12:20 p. m.,vereda-parque sentido-a-medellin,"Salida Parque: 12:20 p. m., Llegada Medellín: 1:00 p. m."
1:30 p. m.,vereda-parque sentido-a-medellin,"Salida Parque: 1:30 p. m., Llegada Medellín: 2:10 p. m."
2:40 p. m.,vereda-parque sentido-a-medellin,"Salida Parque: 2:40 p. m., Llegada Medellín: 3:20 p. m."
3:30 p. m.,vereda-parque sentido-a-medellin,"Salida Parque: 3:30 p. m., Llegada Medellín: 4:10 p. m."
4:05 p. m.,vereda-parque sentido-a-medellin,"Salida Parque: 4:05 p. m., Llegada Medellín: 4:45 p. m."
5:20 p. m.,vereda-parque sentido-a-medellin,"Salida Parque: 5:20 p. m., Llegada Medellín: 6:00 p. m."
6:30 p. m.,vereda-parque sentido-a-medellin,"Salida Parque: 6:30 p. m., Llegada Medellín: 7:10 p. m."
7:00 p. m.,vereda-parque sentido-a-medellin,"Salida Parque: 7:00 p. m., Llegada Medellín: 7:40 p. m."
8:00 p. m.,vereda-parque sentido-a-medellin,"Salida Parque: 8:00 p. m., Llegada Medellín: 8:40 p. m."
9:00 p. m.,vereda-parque sentido-a-medellin,"Salida Parque: 9:00 a. m., Llegada Medellín: 9:40 a. m."
5:25 a. m.,vereda-tamboparquecombo sentido-desde-medellin,"Salida Medellín: 5:25 a. m., Llegada Silletero: 6:05 a. m., Llegada El Tambo: 7:06 a. m."
6:23 a. m.,vereda-tamboparquecombo sentido-desde-medellin,"Salida Medellín: 6:23 a. m., Llegada Silletero: 6:58 a. m., Llegada El Tambo: 7:59 a. m."
6:55 a. m.,vereda-tamboparquecombo sentido-desde-medellin,"Salida Medellín: 6:55 a. m., Llegada Silletero: 7:37 a. m., Llegada El Tambo: 8:38 a. m."
